CustomerID,purchase_cnt,item_cnt,recency,user_total,user_average,unique_products,average_interval,total_transactions,cancel_frequency,cancel_rate
17408,1,3,163,32.6,32.6,2,0,1,0,0
13144,1,21,332,111,111,3,0,1,0,0
13682,1,10,187,59.5,59.5,3,0,1,0,0
14661,1,35,26,108,108,4,0,1,0,0
12659,1,104,29,73.7,73.7,4,0,1,0,0
15350,1,51,373,115.7,115.7,5,0,1,0,0
14967,1,140,49,463.8,463.8,6,0,1,0,0
14890,1,51,253,125.7,125.7,7,0,1,0,0
13227,1,99,201,257.7,257.7,9,0,1,0,0
17496,1,79,358,271,271,10,0,1,0,0
14569,1,79,1,227.4,227.4,10,0,1,0,0
13980,1,172,60,200.1,200.1,11,0,1,0,0
17906,1,26,247,72.9,72.9,12,0,1,0,0
12355,1,240,214,459.4,459.4,13,0,1,0,0
15578,1,52,162,127.1,127.1,13,0,1,0,0
12718,1,201,71,202.3,202.3,18,0,1,0,0
16758,1,203,65,369.3,369.3,22,0,1,0,0
16404,1,157,70,443,443,23,0,1,0,0
16412,1,63,53,136,136,25,0,1,0,0
14652,1,53,77,114.2,114.2,29,0,1,0,0
15386,1,446,186,394.1,394.1,31,0,1,0,0
13044,1,429,291,560.5,560.5,33,0,1,0,0
15320,1,326,44,267.1,267.1,36,0,1,0,0
14756,1,416,15,739,739,38,0,1,0,0
16392,1,201,269,217.9,217.9,41,0,1,0,0
17347,1,216,86,229,229,1,0,1,0,0
14603,1,400,274,660,660,2,0,1,0,0
13645,1,158,120,252.1,252.1,5,0,1,0,0
14789,1,116,28,197.6,197.6,6,0,1,0,0
14280,1,52,196,134,134,8,0,1,0,0
13845,1,182,64,313,313,9,0,1,0,0
15607,1,202,336,104.8,104.8,13,0,1,0,0
13390,1,224,74,544.1,544.1,13,0,1,0,0
13699,1,66,155,308.6,308.6,14,0,1,0,0
15280,1,154,172,113.1,113.1,16,0,1,0,0
15520,1,314,1,343.5,343.5,18,0,1,0,0
13927,1,214,74,349,349,21,0,1,0,0
14647,1,91,201,236,236,24,0,1,0,0
16272,1,224,116,411.7,411.7,25,0,1,0,0
15448,1,232,312,494.6,494.6,28,0,1,0,0
13974,1,249,49,413.6,413.6,28,0,1,0,0
17201,1,231,53,289.8,289.8,38,0,1,0,0
17433,1,185,88,303.2,303.2,53,0,1,0,0
15832,1,465,254,836.8,836.8,54,0,1,0,0
16895,1,91,64,202.3,202.3,57,0,1,0,0
12847,1,873,22,843.6,843.6,72,0,1,0,0
15472,1,251,113,371.6,371.6,76,0,1,0,0
16504,1,510,25,465.9,465.9,76,0,1,0,0
12391,1,293,21,439.7,439.7,92,0,1,0,0
16093,1,20,106,17,17,1,0,1,0,0
13130,1,32,94,64,64,2,0,1,0,0
14642,1,76,58,96.1,96.1,2,0,1,0,0
16784,1,24,19,107.6,107.6,3,0,1,0,0
14946,1,22,14,100.9,100.9,3,0,1,0,0
16319,1,72,217,404.4,404.4,3,0,1,0,0
12789,1,3,65,76.8,76.8,3,0,1,0,0
17174,1,41,217,59.9,59.9,4,0,1,0,0
16542,1,46,53,119.6,119.6,5,0,1,0,0
13216,1,297,267,333.7,333.7,5,0,1,0,0
14345,1,50,38,109,109,6,0,1,0,0
14641,1,90,21,110.5,110.5,7,0,1,0,0
12641,1,71,115,145.9,145.9,9,0,1,0,0
13483,1,160,65,140.3,140.3,10,0,1,0,0
17871,1,182,204,155.9,155.9,10,0,1,0,0
16680,1,94,43,183.7,183.7,10,0,1,0,0
14863,1,132,29,266.8,266.8,11,0,1,0,0
15277,1,205,46,255.9,255.9,12,0,1,0,0
13618,1,246,173,177.3,177.3,13,0,1,0,0
15360,1,223,39,427.9,427.9,13,0,1,0,0
15234,1,196,276,197,197,14,0,1,0,0
15319,1,175,283,204.5,204.5,16,0,1,0,0
12561,1,177,302,238.8,238.8,16,0,1,0,0
16425,1,199,302,302.7,302.7,21,0,1,0,0
12447,1,187,243,431.5,431.5,25,0,1,0,0
12729,1,231,113,417,417,25,0,1,0,0
17878,1,401,43,379.4,379.4,26,0,1,0,0
15725,1,221,15,415.3,415.3,32,0,1,0,0
17962,1,127,142,102.4,102.4,33,0,1,0,0
16887,1,156,35,192.3,192.3,35,0,1,0,0
17251,1,108,362,269.8,269.8,37,0,1,0,0
17551,1,142,359,290.3,290.3,39,0,1,0,0
15076,1,571,172,880.8,880.8,49,0,1,0,0
12405,1,849,148,1390.4,1390.4,53,0,1,0,0
15466,1,246,85,334.5,334.5,56,0,1,0,0
15471,1,256,2,454.5,454.5,67,0,1,0,0
18022,1,703,35,612.7,612.7,141,0,1,0,0
14424,1,48,17,322.1,322.1,1,0,1,0,0
13120,1,12,238,30.6,30.6,1,0,1,0,0
13017,1,48,7,204,204,1,0,1,0,0
15945,1,52,365,181,181,2,0,1,0,0
17394,1,241,219,203.9,203.9,4,0,1,0,0
14840,1,31,267,62.9,62.9,4,0,1,0,0
16363,1,52,53,109.4,109.4,5,0,1,0,0
14582,1,73,40,114.1,114.1,6,0,1,0,0
17524,1,90,361,145,145,6,0,1,0,0
17698,1,93,260,154.9,154.9,8,0,1,0,0
12977,1,12,156,39.2,39.2,9,0,1,0,0
14772,1,82,112,139.3,139.3,9,0,1,0,0
13108,1,298,372,350.1,350.1,10,0,1,0,0
15917,1,42,247,123.1,123.1,12,0,1,0,0
18129,1,48,243,112.5,112.5,13,0,1,0,0
15254,1,275,127,300.4,300.4,18,0,1,0,0
16318,1,199,35,328.1,328.1,19,0,1,0,0
15261,1,270,135,254.8,254.8,19,0,1,0,0
16147,1,246,133,375,375,22,0,1,0,0
12976,1,561,211,738.6,738.6,22,0,1,0,0
16965,1,243,226,192.1,192.1,25,0,1,0,0
13398,1,281,192,457.3,457.3,26,0,1,0,0
16491,1,478,46,731.5,731.5,39,0,1,0,0
13708,1,300,271,283.3,283.3,48,0,1,0,0
15619,1,136,10,336.4,336.4,3,0,1,0,0
16006,1,84,211,101.4,101.4,8,0,1,0,0
13690,1,67,59,172.3,172.3,9,0,1,0,0
12902,1,66,264,138.7,138.7,10,0,1,0,0
15733,1,62,282,162.3,162.3,10,0,1,0,0
13062,1,342,191,332,332,10,0,1,0,0
16181,1,152,73,305.5,305.5,11,0,1,0,0
14870,1,119,261,327.3,327.3,13,0,1,0,0
13153,1,418,5,486.2,486.2,15,0,1,0,0
13349,1,224,10,197.3,197.3,15,0,1,0,0
16433,1,106,28,184.3,184.3,17,0,1,0,0
12650,1,250,3,242.4,242.4,19,0,1,0,0
13887,1,147,204,349.5,349.5,19,0,1,0,0
13844,1,196,11,361.6,361.6,20,0,1,0,0
15923,1,122,372,127.1,127.1,21,0,1,0,0
15243,1,185,74,316.7,316.7,22,0,1,0,0
17972,1,36,241,135.2,135.2,30,0,1,0,0
12707,1,256,291,603.4,603.4,33,0,1,0,0
12638,1,573,33,511.7,511.7,38,0,1,0,0
17908,1,169,373,232,232,51,0,1,0,0
14953,1,224,25,285.7,285.7,54,0,1,0,0
14549,1,136,311,289.2,289.2,56,0,1,0,0
16595,1,335,61,360.2,360.2,83,0,1,0,0
15524,1,4,24,440,440,1,0,1,0,0
14576,1,12,372,35.4,35.4,1,0,1,0,0
16976,1,88,267,251.5,251.5,2,0,1,0,0
15442,1,120,248,594,594,2,0,1,0,0
13403,1,44,17,75,75,3,0,1,0,0
16430,1,103,57,300.9,300.9,6,0,1,0,0
18138,1,38,295,152.7,152.7,8,0,1,0,0
13070,1,110,192,228.8,228.8,9,0,1,0,0
12672,1,78,329,225.9,225.9,10,0,1,0,0
12574,1,59,315,182.5,182.5,10,0,1,0,0
15886,1,147,60,181.1,181.1,12,0,1,0,0
12581,1,160,39,179.7,179.7,14,0,1,0,0
14484,1,210,50,321.9,321.9,14,0,1,0,0
18213,1,232,236,232.5,232.5,15,0,1,0,0
17140,1,296,247,454.1,454.1,16,0,1,0,0
15017,1,63,33,125.6,125.6,20,0,1,0,0
15225,1,226,234,409.4,409.4,23,0,1,0,0
17222,1,122,65,328.6,328.6,27,0,1,0,0
16025,1,338,29,439.7,439.7,28,0,1,0,0
13358,1,284,268,389,389,28,0,1,0,0
14204,1,72,2,150.6,150.6,36,0,1,0,0
17051,1,179,194,240.9,240.9,40,0,1,0,0
14222,1,607,177,683.2,683.2,41,0,1,0,0
15576,1,394,37,921.4,921.4,43,0,1,0,0
15423,1,101,38,43.5,43.5,2,0,1,0,0
17941,1,252,130,304.6,304.6,2,0,1,0,0
12855,1,30,372,38.1,38.1,3,0,1,0,0
18032,1,42,334,73.5,73.5,5,0,1,0,0
14752,1,260,43,389.6,389.6,5,0,1,0,0
14059,1,128,266,183.6,183.6,8,0,1,0,0
13161,1,29,313,112.8,112.8,8,0,1,0,0
17574,1,77,242,185.7,185.7,8,0,1,0,0
17538,1,134,25,98.4,98.4,9,0,1,0,0
12831,1,135,262,215,215,9,0,1,0,0
12938,1,140,25,114.1,114.1,9,0,1,0,0
13926,1,104,23,223.9,223.9,11,0,1,0,0
15007,1,69,159,156.9,156.9,12,0,1,0,0
17359,1,161,11,127.9,127.9,13,0,1,0,0
17475,1,178,79,194.4,194.4,14,0,1,0,0
12532,1,151,30,313.8,313.8,15,0,1,0,0
17855,1,197,372,209,209,17,0,1,0,0
15748,1,50,40,144.4,144.4,19,0,1,0,0
15016,1,76,172,170,170,20,0,1,0,0
15153,1,198,31,329.2,329.2,22,0,1,0,0
12740,1,342,63,427.6,427.6,27,0,1,0,0
18119,1,124,367,180.7,180.7,29,0,1,0,0
15947,1,898,82,1708.2,1708.2,29,0,1,0,0
15318,1,642,3,312.6,312.6,33,0,1,0,0
12617,1,210,29,353,353,39,0,1,0,0
13790,1,748,4,348.8,348.8,45,0,1,0,0
17839,1,257,42,318.1,318.1,50,0,1,0,0
13667,1,149,149,299,299,82,0,1,0,0
15269,1,26,23,408.8,408.8,2,0,1,0,0
14494,1,92,25,139.6,139.6,7,0,1,0,0
14238,1,111,326,146.8,146.8,8,0,1,0,0
14237,1,38,373,161,161,9,0,1,0,0
16591,1,41,68,213.5,213.5,10,0,1,0,0
12402,1,92,323,195.6,195.6,10,0,1,0,0
15412,1,108,171,190.5,190.5,10,0,1,0,0
18262,1,182,140,149.5,149.5,13,0,1,0,0
13441,1,204,91,296.6,296.6,13,0,1,0,0
17234,1,55,182,149.9,149.9,14,0,1,0,0
17011,1,186,30,270.9,270.9,15,0,1,0,0
13990,1,190,213,311.3,311.3,16,0,1,0,0
18099,1,149,127,168.3,168.3,19,0,1,0,0
13893,1,190,297,821.1,821.1,21,0,1,0,0
14413,1,67,362,121.1,121.1,22,0,1,0,0
17154,1,490,75,329.3,329.3,23,0,1,0,0
13570,1,161,243,239.5,239.5,27,0,1,0,0
12426,1,254,194,510.7,510.7,29,0,1,0,0
15507,1,160,171,475.9,475.9,41,0,1,0,0
15866,1,124,101,211.9,211.9,43,0,1,0,0
17458,1,170,15,316.5,316.5,52,0,1,0,0
17379,1,623,11,389.7,389.7,71,0,1,0,0
13877,1,108,86,117.2,117.2,3,0,1,0,0
18058,1,88,9,170.2,170.2,3,0,1,0,0
17844,1,52,106,51.6,51.6,5,0,1,0,0
15428,1,102,15,93.8,93.8,6,0,1,0,0
15944,1,50,276,325.1,325.1,6,0,1,0,0
13922,1,93,351,172.2,172.2,7,0,1,0,0
16963,1,35,187,110.6,110.6,7,0,1,0,0
13866,1,57,74,145.7,145.7,7,0,1,0,0
15143,1,150,225,259.4,259.4,14,0,1,0,0
13561,1,83,215,141.9,141.9,14,0,1,0,0
16812,1,81,360,479.4,479.4,15,0,1,0,0
15557,1,213,28,468.9,468.9,16,0,1,0,0
15552,1,60,217,90.1,90.1,17,0,1,0,0
16423,1,230,24,346.1,346.1,18,0,1,0,0
17274,1,77,35,107.8,107.8,24,0,1,0,0
14600,1,125,305,393.3,393.3,25,0,1,0,0
18114,1,55,290,220.1,220.1,28,0,1,0,0
12658,1,317,18,632,632,35,0,1,0,0
13187,1,95,337,236,236,37,0,1,0,0
14830,1,163,53,188,188,38,0,1,0,0
16902,1,629,116,1706.9,1706.9,43,0,1,0,0
16274,1,151,373,331.5,331.5,63,0,1,0,0
16800,1,524,11,1162.7,1162.7,148,0,1,0,0
13366,1,144,50,56.2,56.2,1,0,1,0,0
15178,1,30,260,40.5,40.5,3,0,1,0,0
15168,1,52,25,106.6,106.6,5,0,1,0,0
12686,1,106,371,71.1,71.1,6,0,1,0,0
17709,1,17,169,137.4,137.4,7,0,1,0,0
16658,1,40,368,123.2,123.2,8,0,1,0,0
17947,1,168,37,176.7,176.7,9,0,1,0,0
17217,1,24,234,113.5,113.5,9,0,1,0,0
14438,1,82,306,131.9,131.9,9,0,1,0,0
16752,1,54,372,207.5,207.5,9,0,1,0,0
12738,1,147,372,137.3,137.3,10,0,1,0,0
12430,1,116,43,216.4,216.4,10,0,1,0,0
14079,1,301,124,375.1,375.1,12,0,1,0,0
17824,1,408,51,298.4,298.4,13,0,1,0,0
16527,1,106,81,228.1,228.1,14,0,1,0,0
14015,1,378,52,917.3,917.3,20,0,1,0,0
14100,1,63,137,191.9,191.9,24,0,1,0,0
17701,1,109,252,417.9,417.9,24,0,1,0,0
16914,1,112,36,183.8,183.8,25,0,1,0,0
17829,1,496,298,889.2,889.2,30,0,1,0,0
17124,1,129,185,294.2,294.2,31,0,1,0,0
17403,1,111,36,263.9,263.9,32,0,1,0,0
15460,1,107,354,214.3,214.3,53,0,1,0,0
14052,1,89,19,225.4,225.4,56,0,1,0,0
16445,1,111,33,230.5,230.5,62,0,1,0,0
12534,1,645,130,981.2,981.2,62,0,1,0,0
16323,1,50,196,207.5,207.5,1,0,1,0,0
12864,1,216,138,147.1,147.1,3,0,1,0,0
14437,1,60,365,63,63,5,0,1,0,0
15405,1,193,189,349.1,349.1,8,0,1,0,0
14314,1,296,106,120,120,8,0,1,0,0
17887,1,30,129,111.4,111.4,10,0,1,0,0
15388,1,88,270,140.5,140.5,10,0,1,0,0
14714,1,229,24,160.2,160.2,10,0,1,0,0
15844,1,134,46,130.7,130.7,11,0,1,0,0
15766,1,170,64,315.1,315.1,11,0,1,0,0
15895,1,94,149,179.2,179.2,11,0,1,0,0
15670,1,91,296,173.1,173.1,12,0,1,0,0
16848,1,182,52,281.4,281.4,14,0,1,0,0
